Time[s],Rotational_speed[rpm],Status
0000.0000,11.41,1
0000.1639,11.41,1
0000.3278,11.41,1
0000.4917,11.41,1
0000.6556,11.42,1
0000.8194,11.42,1
0000.9833,11.42,1
0001.1472,11.42,1
0001.3111,11.42,1
0001.4750,11.42,1
0001.6389,11.42,1
0001.8028,11.42,1
0001.9667,11.42,1
0002.1306,11.42,1
0002.2945,11.41,1
0002.4583,11.41,1
0002.6222,11.41,1
0002.7861,11.41,1
0002.9500,11.41,1
0003.1139,11.41,1
0003.2778,11.40,1
0003.4417,11.40,1
0003.6056,11.40,1
0003.7695,11.40,1
0003.9334,11.39,1
0004.0972,11.39,1
0004.2611,11.39,1
0004.4250,11.39,1
0004.5889,11.39,1
0004.7528,11.39,1
0004.9167,11.38,1
0005.0806,11.38,1
0005.2445,11.37,1
0005.4084,11.37,1
0005.5722,11.36,1
0005.7361,11.36,1
0005.9000,11.35,1
0006.0639,11.35,1
0006.2278,11.34,1
0006.3917,11.34,1
0006.5556,11.32,1
0006.7195,11.32,1
0006.8834,11.31,1
0007.0473,11.30,1
0007.2111,11.30,1
0007.3750,11.30,1
0007.5389,11.29,1
0007.7028,11.28,1
0007.8667,11.28,1
0008.0306,11.27,1
0008.1945,11.26,1
0008.3584,11.26,1
0008.5223,11.25,1
0008.6862,11.24,1
0008.8500,11.23,1
0009.0139,11.22,1
0009.1778,11.22,1
0009.3417,11.21,1
0009.5056,11.21,1
0009.6695,11.20,1
0009.8334,11.19,1
0009.9973,11.18,1
0010.1612,11.17,1
0010.3250,11.17,1
0010.4889,11.16,1
0010.6528,11.15,1
0010.8167,11.14,1
0010.9806,11.14,1
0011.1445,11.13,1
0011.3084,11.13,1
0011.4723,11.12,1
0011.6362,11.11,1
0011.8001,11.11,1
0011.9639,11.10,1
0012.1278,11.09,1
0012.2917,11.08,1
0012.4556,11.08,1
0012.6195,11.07,1
0012.7834,11.07,1
0012.9473,11.06,1
0013.1112,11.06,1
0013.2751,11.05,1
0013.4390,11.05,1
0013.6028,11.04,1
0013.7667,11.03,1
0013.9306,11.03,1
0014.0945,11.02,1
0014.2584,11.02,1
0014.4223,11.02,1
0014.5862,11.02,1
0014.7501,11.02,1
0014.9140,11.02,1
0015.0778,11.02,1
0015.2417,11.02,1
0015.4056,11.02,1
0015.5695,11.02,1
0015.7334,11.02,1
0015.8973,11.02,1
0016.0612,11.02,1
0016.2251,11.02,1
0016.3890,11.02,1
0016.5529,11.02,1
0016.7167,11.03,1
