Time[s],Rotational_speed[rpm],Status
0000.0000,09.09,6
0000.1639,09.09,6
0000.3278,09.09,6
0000.4917,09.10,6
0000.6556,09.11,6
0000.8194,09.12,6
0000.9833,09.12,6
0001.1472,09.13,6
0001.3111,09.13,6
0001.4750,09.14,6
0001.6389,09.15,6
0001.8028,09.15,6
0001.9667,09.16,6
0002.1306,09.16,6
0002.2945,09.17,6
0002.4583,09.18,6
0002.6222,09.18,6
0002.7861,09.19,6
0002.9500,09.20,6
0003.1139,09.21,6
0003.2778,09.21,6
0003.4417,09.22,6
0003.6056,09.23,6
0003.7695,09.23,6
0003.9334,09.24,6
0004.0972,09.25,6
0004.2611,09.26,6
0004.4250,09.26,6
0004.5889,09.27,6
0004.7528,09.29,6
0004.9167,09.29,6
0005.0806,09.30,6
0005.2445,09.31,6
0005.4084,09.32,6
0005.5722,09.33,6
0005.7361,09.34,6
0005.9000,09.35,6
0006.0639,09.35,6
0006.2278,09.36,6
0006.3917,09.37,6
0006.5556,09.38,6
0006.7195,09.38,6
0006.8834,09.39,6
0007.0473,09.40,6
0007.2111,09.41,6
0007.3750,09.42,6
0007.5389,09.43,6
0007.7028,09.44,6
0007.8667,09.44,6
0008.0306,09.45,6
0008.1945,09.46,6
0008.3584,09.47,6
0008.5223,09.48,6
0008.6862,09.49,6
0008.8500,09.50,6
0009.0139,09.51,6
0009.1778,09.52,6
0009.3417,09.52,6
0009.5056,09.53,6
0009.6695,09.54,6
0009.8334,09.55,6
0009.9973,09.56,6
0010.1612,09.56,6
0010.3250,09.58,6
0010.4889,09.59,6
0010.6528,09.59,6
0010.8167,09.60,6
0010.9806,09.61,6
0011.1445,09.62,6
0011.3084,09.63,6
0011.4723,09.64,6
0011.6362,09.64,6
0011.8001,09.65,6
0011.9639,09.66,6
0012.1278,09.66,6
0012.2917,09.67,6
0012.4556,09.68,6
0012.6195,09.69,6
0012.7834,09.69,6
0012.9473,09.70,6
0013.1112,09.71,6
0013.2751,09.71,6
0013.4390,09.72,6
0013.6028,09.72,6
0013.7667,09.73,6
0013.9306,09.73,6
0014.0945,09.74,6
0014.2584,09.74,6
0014.4223,09.75,6
0014.5862,09.75,6
0014.7501,09.76,6
0014.9140,09.77,6
0015.0778,09.77,6
0015.2417,09.78,6
0015.4056,09.79,6
0015.5695,09.79,6
0015.7334,09.79,6
0015.8973,09.79,6
0016.0612,09.79,6
0016.2251,09.79,6
0016.3890,09.80,6
0016.5529,09.80,6
0016.7167,09.80,6
0016.8806,09.80,6
0017.0445,09.81,6
0017.2084,09.81,6
0017.3723,09.81,6
0017.5362,09.82,6
0017.7001,09.82,6
0017.8640,09.82,6
0018.0279,09.82,6
0018.1918,09.82,6
0018.3556,09.82,6
0018.5195,09.82,6
0018.6834,09.82,6
0018.8473,09.82,6
0019.0112,09.82,6
0019.1751,09.82,6
0019.3390,09.82,6
0019.5029,09.82,6
0019.6668,09.82,6
0019.8306,09.82,6
0019.9945,09.82,6
0020.1584,09.82,6
0020.3223,09.81,6
0020.4862,09.81,6
0020.6501,09.81,6
0020.8140,09.81,6
0020.9779,09.81,6
0021.1418,09.81,6
0021.3057,09.81,6
0021.4695,09.81,6
0021.6334,09.81,6
0021.7973,09.81,6
0021.9612,09.81,6
0022.1251,09.80,6
0022.2890,09.80,6
0022.4529,09.80,6
0022.6168,09.80,6
0022.7807,09.79,6
0022.9446,09.79,6
0023.1084,09.79,6
0023.2723,09.79,6
0023.4362,09.79,6
0023.6001,09.79,6
0023.7640,09.79,6
0023.9279,09.78,6
0024.0918,09.78,6
0024.2557,09.78,6
0024.4196,09.77,6
0024.5834,09.77,6
0024.7473,09.77,6
0024.9112,09.77,6
0025.0751,09.77,6
0025.2390,09.77,6
0025.4029,09.76,6
0025.5668,09.76,6
0025.7307,09.76,6
0025.8946,09.76,6
0026.0585,09.75,6
0026.2223,09.75,6
0026.3862,09.74,6
0026.5501,09.74,6
0026.7140,09.74,6
0026.8779,09.73,6
0027.0418,09.73,6
0027.2057,09.73,6
0027.3696,09.73,6
0027.5335,09.73,6
0027.6974,09.72,6
0027.8612,09.72,6
0028.0251,09.71,6
0028.1890,09.71,6
0028.3529,09.71,6
0028.5168,09.71,6
0028.6807,09.71,6
0028.8446,09.71,6
0029.0085,09.70,6
0029.1724,09.70,6
0029.3362,09.70,6
0029.5001,09.70,6
0029.6640,09.70,6
0029.8279,09.69,6
0029.9918,09.69,6
0030.1557,09.69,6
0030.3196,09.68,6
0030.4835,09.68,6
0030.6474,09.68,6
0030.8113,09.68,6
0030.9751,09.68,6
0031.1390,09.68,6
0031.3029,09.68,6
0031.4668,09.68,6
0031.6307,09.68,6
0031.7946,09.68,6
0031.9585,09.68,6
0032.1224,09.67,6
0032.2863,09.67,6
0032.4502,09.67,6
0032.6140,09.67,6
0032.7779,09.67,6
0032.9418,09.67,6
0033.1057,09.67,6
0033.2696,09.67,6
0033.4335,09.68,6
0033.5974,09.68,6
0033.7613,09.68,6
0033.9252,09.68,6
0034.0890,09.68,6
0034.2529,09.68,6
0034.4168,09.68,6
0034.5807,09.68,6
0034.7446,09.68,6
0034.9085,09.68,6
0035.0724,09.69,6
0035.2363,09.69,6
0035.4002,09.69,6
0035.5641,09.69,6
0035.7279,09.70,6
0035.8918,09.70,6
0036.0557,09.70,6
0036.2196,09.70,6
0036.3835,09.70,6
0036.5474,09.71,6
0036.7113,09.71,6
0036.8752,09.71,6
0037.0391,09.71,6
0037.2030,09.71,6
0037.3668,09.72,6
0037.5307,09.72,6
0037.6946,09.72,6
0037.8585,09.73,6
0038.0224,09.73,6
0038.1863,09.74,6
0038.3502,09.74,6
0038.5141,09.75,6
0038.6780,09.75,6
0038.8418,09.75,6
0039.0057,09.76,6
0039.1696,09.76,6
0039.3335,09.77,6
0039.4974,09.77,6
0039.6613,09.78,6
0039.8252,09.79,6
0039.9891,09.79,6
0040.1530,09.80,6
0040.3169,09.80,6
0040.4807,09.80,6
0040.6446,09.81,6
0040.8085,09.81,6
0040.9724,09.82,6
0041.1363,09.83,6
0041.3002,09.83,6
0041.4641,09.84,6
0041.6280,09.84,6
0041.7919,09.85,6
0041.9557,09.86,6
0042.1196,09.86,6
0042.2835,09.87,6
0042.4474,09.88,6
0042.6113,09.88,6
0042.7752,09.88,6
0042.9391,09.89,6
0043.1030,09.89,6
0043.2669,09.90,6
0043.4308,09.90,6
0043.5946,09.91,6
0043.7585,09.91,6
0043.9224,09.92,6
0044.0863,09.92,6
0044.2502,09.92,6
0044.4141,09.93,6
0044.5780,09.93,6
0044.7419,09.93,6
0044.9058,09.94,6
0045.0697,09.94,6
0045.2335,09.95,6
0045.3974,09.95,6
0045.5613,09.96,6
0045.7252,09.96,6
0045.8891,09.97,6
0046.0530,09.97,6
0046.2169,09.98,6
0046.3808,09.98,6
0046.5447,09.98,6
0046.7085,09.98,6
0046.8724,09.99,6
0047.0363,09.99,6
0047.2002,10.00,6
0047.3641,10.00,6
0047.5280,10.00,6
0047.6919,10.00,6
0047.8558,10.01,6
0048.0197,10.02,6
0048.1836,10.02,6
0048.3474,10.02,6
0048.5113,10.03,6
0048.6752,10.03,6
0048.8391,10.03,6
0049.0030,10.04,6
0049.1669,10.04,6
0049.3308,10.05,6
0049.4947,10.05,6
0049.6586,10.05,6
0049.8225,10.06,6
0049.9863,10.06,6
0050.1502,10.07,6
0050.3141,10.07,6
0050.4780,10.07,6
0050.6419,10.07,6
0050.8058,10.07,6
0050.9697,10.08,6
0051.1336,10.08,6
0051.2975,10.09,6
0051.4613,10.09,6
0051.6252,10.10,6
0051.7891,10.10,6
0051.9530,10.11,6
0052.1169,10.11,6
0052.2808,10.11,6
0052.4447,10.12,6
0052.6086,10.12,6
0052.7725,10.12,6
0052.9364,10.13,6
0053.1002,10.13,6
0053.2641,10.13,6
0053.4280,10.14,6
0053.5919,10.14,6
0053.7558,10.15,6
0053.9197,10.16,6
0054.0836,10.16,6
0054.2475,10.16,6
0054.4114,10.16,6
0054.5753,10.17,6
0054.7391,10.17,6
0054.9030,10.18,6
0055.0669,10.18,6
0055.2308,10.19,6
0055.3947,10.19,6
0055.5586,10.20,6
0055.7225,10.21,6
0055.8864,10.21,6
0056.0503,10.22,6
0056.2141,10.22,6
0056.3780,10.22,6
0056.5419,10.23,6
0056.7058,10.23,6
0056.8697,10.24,6
0057.0336,10.24,6
0057.1975,10.25,6
0057.3614,10.26,6
0057.5253,10.26,6
0057.6892,10.27,6
0057.8530,10.27,6
0058.0169,10.28,6
0058.1808,10.28,6
0058.3447,10.29,6
0058.5086,10.29,6
0058.6725,10.30,6
0058.8364,10.31,6
0059.0003,10.31,6
0059.1642,10.32,6
0059.3281,10.33,6
0059.4919,10.34,6
0059.6558,10.34,6
0059.8197,10.35,6
0059.9836,10.36,6
0060.1475,10.37,6
0060.3114,10.37,6
0060.4753,10.38,6
0060.6392,10.39,6
0060.8031,10.39,6
0060.9669,10.41,6
0061.1308,10.41,6
0061.2947,10.42,6
0061.4586,10.43,6
0061.6225,10.44,6
0061.7864,10.45,6
0061.9503,10.45,6
0062.1142,10.46,6
0062.2781,10.46,6
0062.4420,10.47,6
0062.6058,10.48,6
0062.7697,10.49,6
0062.9336,10.50,6
0063.0975,10.51,6
0063.2614,10.52,6
0063.4253,10.52,6
0063.5892,10.53,6
0063.7531,10.54,6
0063.9170,10.54,6
0064.0809,10.54,6
0064.2447,10.55,6
0064.4086,10.55,6
0064.5725,10.56,6
0064.7364,10.57,6
0064.9003,10.57,6
0065.0642,10.59,6
0065.2281,10.59,6
0065.3920,10.60,6
0065.5559,10.60,6
0065.7197,10.61,6
0065.8836,10.61,6
0066.0475,10.61,6
0066.2114,10.62,6
0066.3753,10.63,6
0066.5392,10.64,6
0066.7031,10.64,6
0066.8670,10.65,6
0067.0309,10.65,6
0067.1948,10.66,6
0067.3586,10.66,6
0067.5225,10.67,6
0067.6864,10.67,6
0067.8503,10.67,6
0068.0142,10.67,6
0068.1781,10.68,6
0068.3420,10.69,6
0068.5059,10.70,6
0068.6698,10.70,6
0068.8337,10.71,6
0068.9975,10.72,6
0069.1614,10.72,6
0069.3253,10.72,6
0069.4892,10.73,6
0069.6531,10.73,6
0069.8170,10.73,6
0069.9809,10.74,6
0070.1448,10.74,6
0070.3087,10.75,6
0070.4725,10.75,6
0070.6364,10.76,6
0070.8003,10.76,6
0070.9642,10.77,6
0071.1281,10.78,6
0071.2920,10.78,6
0071.4559,10.78,6
0071.6198,10.78,6
0071.7837,10.79,6
0071.9476,10.79,6
0072.1114,10.81,6
0072.2753,10.81,6
0072.4392,10.82,6
0072.6031,10.82,6
0072.7670,10.82,6
0072.9309,10.83,6
0073.0948,10.83,6
0073.2587,10.83,6
0073.4226,10.83,6
0073.5865,10.83,6
0073.7503,10.84,6
0073.9142,10.84,6
0074.0781,10.85,6
0074.2420,10.85,6
0074.4059,10.86,6
0074.5698,10.86,6
0074.7337,10.86,6
0074.8976,10.86,6
0075.0615,10.87,6
0075.2253,10.87,6
0075.3892,10.87,6
0075.5531,10.87,6
0075.7170,10.88,6
0075.8809,10.88,6
0076.0448,10.88,6
0076.2087,10.89,6
0076.3726,10.89,6
0076.5365,10.89,6
0076.7004,10.89,6
0076.8642,10.89,6
0077.0281,10.89,6
0077.1920,10.89,6
0077.3559,10.90,6
0077.5198,10.90,6
0077.6837,10.90,6
0077.8476,10.91,6
0078.0115,10.91,6
0078.1754,10.91,6
0078.3393,10.91,6
0078.5031,10.91,6
0078.6670,10.91,6
0078.8309,10.91,6
0078.9948,10.91,6
0079.1587,10.92,6
0079.3226,10.92,6
0079.4865,10.92,6
0079.6504,10.92,6
0079.8143,10.93,6
0079.9781,10.93,6
0080.1420,10.93,6
0080.3059,10.93,6
0080.4698,10.93,6
0080.6337,10.93,6
0080.7976,10.93,6
0080.9615,10.93,6
0081.1254,10.93,6
0081.2893,10.93,6
0081.4532,10.93,6
0081.6170,10.94,6
0081.7809,10.94,6
0081.9448,10.94,6
0082.1087,10.94,6
0082.2726,10.94,6
0082.4365,10.94,6
0082.6004,10.94,6
0082.7643,10.94,6
0082.9282,10.94,6
0083.0921,10.94,6
0083.2559,10.94,6
0083.4198,10.94,6
0083.5837,10.94,6
0083.7476,10.94,6
0083.9115,10.94,6
0084.0754,10.94,6
0084.2393,10.94,6
0084.4032,10.93,6
0084.5671,10.93,6
0084.7309,10.93,6
0084.8948,10.93,6
0085.0587,10.93,6
0085.2226,10.93,6
0085.3865,10.93,6
0085.5504,10.93,6
0085.7143,10.93,6
0085.8782,10.93,6
0086.0421,10.93,6
0086.2060,10.92,6
0086.3698,10.92,6
0086.5337,10.92,6
0086.6976,10.91,6
0086.8615,10.91,6
0087.0254,10.91,6
0087.1893,10.91,6
0087.3532,10.90,6
0087.5171,10.90,6
0087.6810,10.90,6
0087.8449,10.90,6
0088.0087,10.90,6
0088.1726,10.90,6
0088.3365,10.89,6
0088.5004,10.89,6
0088.6643,10.89,6
0088.8282,10.89,6
0088.9921,10.88,6
0089.1560,10.88,6
0089.3199,10.88,6
0089.4837,10.88,6
0089.6476,10.88,6
0089.8115,10.87,6
0089.9754,10.87,6
0090.1393,10.86,6
0090.3032,10.86,6
0090.4671,10.86,6
0090.6310,10.85,6
0090.7949,10.85,6
0090.9588,10.85,6
0091.1226,10.84,6
0091.2865,10.84,6
0091.4504,10.84,6
0091.6143,10.83,6
0091.7782,10.83,6
0091.9421,10.82,6
0092.1060,10.82,6
0092.2699,10.82,6
0092.4338,10.82,6
0092.5977,10.81,6
0092.7615,10.81,6
0092.9254,10.80,6
0093.0893,10.80,6
0093.2532,10.80,6
0093.4171,10.80,6
0093.5810,10.79,6
0093.7449,10.79,6
0093.9088,10.78,6
0094.0727,10.78,6
0094.2365,10.78,6
0094.4004,10.78,6
0094.5643,10.77,6
0094.7282,10.77,6
0094.8921,10.76,6
0095.0560,10.76,6
0095.2199,10.75,6
0095.3838,10.75,6
0095.5477,10.74,6
0095.7116,10.74,6
0095.8754,10.74,6
0096.0393,10.73,6
0096.2032,10.73,6
0096.3671,10.73,6
0096.5310,10.72,6
0096.6949,10.72,6
0096.8588,10.72,6
0097.0227,10.71,6
0097.1866,10.70,6
0097.3505,10.70,6
0097.5143,10.69,6
0097.6782,10.69,6
0097.8421,10.69,6
0098.0060,10.68,6
0098.1699,10.68,6
0098.3338,10.67,6
0098.4977,10.67,6
0098.6616,10.67,6
0098.8255,10.67,6
0098.9893,10.66,6
0099.1532,10.66,6
0099.3171,10.65,6
0099.4810,10.65,6
0099.6449,10.65,6
0099.8088,10.65,6
0099.9727,10.64,6
0100.1366,10.64,6
0100.3005,10.63,6
0100.4644,10.63,6
0100.6282,10.63,6
0100.7921,10.62,6
0100.9560,10.62,6
0101.1199,10.61,6
0101.2838,10.60,6
0101.4477,10.60,6
0101.6116,10.60,6
0101.7755,10.60,6
0101.9394,10.59,6
0102.1033,10.59,6
0102.2671,10.59,6
0102.4310,10.59,6
0102.5949,10.58,6
0102.7588,10.58,6
0102.9227,10.57,6
0103.0866,10.57,6
0103.2505,10.57,6
0103.4144,10.56,6
0103.5783,10.56,3
0103.7421,10.56,3
0103.9060,10.56,3
0104.0699,10.55,3
0104.2338,10.55,3
0104.3977,10.55,3
0104.5616,10.55,3
0104.7255,10.54,3
0104.8894,10.54,3
0105.0533,10.53,3
0105.2172,10.53,3
0105.3810,10.53,3
0105.5449,10.53,3
0105.7088,10.53,3
0105.8727,10.52,3
0106.0366,10.52,3
0106.2005,10.52,3
0106.3644,10.52,3
0106.5283,10.51,3
0106.6922,10.51,3
0106.8561,10.50,3
0107.0199,10.50,3
0107.1838,10.50,3
0107.3477,10.49,3
0107.5116,10.49,3
0107.6755,10.49,3
0107.8394,10.48,3
0108.0033,10.48,3
0108.1672,10.48,3
0108.3311,10.47,3
0108.4949,10.47,3
0108.6588,10.46,3
0108.8227,10.46,3
0108.9866,10.46,3
0109.1505,10.46,3
0109.3144,10.45,3
0109.4783,10.45,3
0109.6422,10.45,3
0109.8061,10.44,3
0109.9700,10.44,3
0110.1338,10.44,3
0110.2977,10.43,3
0110.4616,10.43,3
0110.6255,10.42,3
0110.7894,10.42,3
0110.9533,10.41,3
0111.1172,10.41,3
0111.2811,10.41,3
0111.4450,10.40,3
0111.6089,10.40,3
0111.7727,10.40,3
0111.9366,10.39,3
0112.1005,10.39,3
0112.2644,10.38,3
0112.4283,10.38,3
0112.5922,10.37,3
0112.7561,10.37,3
0112.9200,10.36,3
0113.0839,10.36,3
0113.2477,10.35,3
0113.4116,10.35,3
0113.5755,10.35,3
0113.7394,10.34,3
0113.9033,10.33,3
0114.0672,10.33,3
0114.2311,10.33,3
0114.3950,10.32,3
0114.5589,10.32,3
0114.7228,10.31,3
0114.8866,10.30,3
0115.0505,10.30,3
0115.2144,10.30,3
0115.3783,10.29,3
0115.5422,10.29,3
0115.7061,10.28,3
0115.8700,10.28,3
0116.0339,10.28,3
0116.1978,10.28,3
0116.3616,10.27,3
0116.5255,10.27,3
0116.6894,10.26,3
0116.8533,10.26,3
0117.0172,10.26,3
0117.1811,10.26,3
0117.3450,10.25,3
0117.5089,10.25,3
0117.6728,10.24,3
0117.8367,10.23,3
0118.0005,10.23,3
0118.1644,10.23,3
0118.3283,10.22,3
0118.4922,10.22,3
0118.6561,10.22,3
0118.8200,10.21,6
0118.9839,10.21,6
0119.1478,10.21,6
0119.3117,10.21,6
0119.4756,10.21,6
0119.6394,10.21,6
0119.8033,10.20,6
0119.9672,10.20,6
0120.1311,10.20,6
0120.2950,10.19,6
0120.4589,10.19,6
0120.6228,10.19,6
0120.7867,10.19,6
0120.9506,10.19,6
0121.1144,10.18,6
0121.2783,10.18,6
0121.4422,10.18,6
0121.6061,10.18,6
0121.7700,10.18,6
0121.9339,10.18,6
0122.0978,10.18,6
0122.2617,10.18,6
0122.4256,10.18,6
0122.5895,10.17,6
0122.7533,10.18,6
0122.9172,10.17,6
0123.0811,10.17,6
0123.2450,10.17,6
0123.4089,10.17,6
0123.5728,10.17,6
0123.7367,10.17,6
0123.9006,10.16,6
0124.0645,10.16,6
0124.2284,10.16,6
0124.3922,10.16,6
0124.5561,10.16,6
0124.7200,10.16,6
0124.8839,10.15,6
0125.0478,10.15,6
0125.2117,10.15,6
0125.3756,10.16,6
0125.5395,10.15,6
0125.7034,10.15,6
0125.8672,10.15,6
0126.0311,10.15,6
0126.1950,10.15,6
0126.3589,10.15,6
0126.5228,10.15,6
0126.6867,10.15,6
0126.8506,10.15,6
0127.0145,10.15,6
0127.1784,10.15,6
0127.3423,10.15,6
0127.5061,10.14,6
0127.6700,10.14,6
0127.8339,10.14,6
0127.9978,10.14,6
0128.1617,10.14,6
0128.3256,10.14,6
0128.4895,10.14,6
0128.6534,10.14,6
0128.8173,10.14,6
0128.9812,10.14,6
0129.1450,10.14,6
0129.3089,10.14,6
0129.4728,10.14,6
0129.6367,10.14,6
0129.8006,10.14,6
0129.9645,10.14,6
0130.1284,10.14,6
0130.2923,10.14,6
0130.4562,10.14,6
0130.6200,10.14,6
0130.7839,10.13,6
0130.9478,10.13,6
0131.1117,10.14,6
0131.2756,10.14,6
0131.4395,10.14,6
0131.6034,10.14,6
0131.7673,10.14,6
0131.9312,10.14,6
0132.0951,10.14,6
0132.2589,10.14,6
0132.4228,10.14,6
0132.5867,10.14,6
0132.7506,10.14,6
0132.9145,10.14,6
0133.0784,10.14,6
0133.2423,10.14,6
0133.4062,10.14,6
0133.5701,10.15,6
0133.7340,10.15,6
0133.8978,10.15,6
0134.0617,10.15,6
0134.2256,10.15,6
0134.3895,10.15,6
0134.5534,10.15,6
0134.7173,10.16,6
0134.8812,10.16,6
0135.0451,10.16,6
0135.2090,10.16,6
0135.3728,10.16,6
0135.5367,10.16,6
0135.7006,10.16,6
0135.8645,10.17,6
0136.0284,10.17,6
0136.1923,10.17,6
0136.3562,10.17,6
0136.5201,10.17,6
0136.6840,10.17,6
0136.8479,10.17,6
0137.0117,10.17,6
0137.1756,10.17,6
0137.3395,10.17,6
0137.5034,10.17,6
0137.6673,10.17,6
0137.8312,10.17,6
0137.9951,10.17,6
0138.1590,10.18,6
0138.3229,10.18,6
0138.4868,10.18,6
0138.6506,10.18,6
0138.8145,10.18,6
0138.9784,10.18,6
0139.1423,10.18,6
0139.3062,10.18,6
0139.4701,10.18,6
0139.6340,10.18,6
0139.7979,10.18,6
0139.9618,10.18,6
0140.1256,10.18,6
0140.2895,10.18,6
0140.4534,10.19,6
0140.6173,10.19,6
0140.7812,10.19,6
0140.9451,10.19,6
0141.1090,10.18,6
0141.2729,10.18,6
0141.4368,10.18,6
0141.6007,10.18,6
0141.7645,10.18,6
0141.9284,10.18,6
0142.0923,10.18,6
0142.2562,10.18,6
0142.4201,10.19,6
0142.5840,10.19,6
0142.7479,10.19,6
0142.9118,10.18,6
0143.0757,10.18,6
0143.2396,10.19,6
0143.4034,10.19,6
0143.5673,10.19,6
0143.7312,10.19,6
0143.8951,10.19,6
0144.0590,10.19,6
0144.2229,10.19,6
0144.3868,10.19,6
0144.5507,10.19,6
0144.7146,10.19,6
0144.8784,10.19,6
0145.0423,10.19,6
0145.2062,10.19,6
0145.3701,10.19,6
0145.5340,10.19,6
0145.6979,10.19,6
0145.8618,10.19,6
0146.0257,10.19,6
0146.1896,10.19,6
0146.3535,10.19,6
0146.5173,10.19,6
0146.6812,10.19,6
0146.8451,10.18,6
0147.0090,10.18,6
0147.1729,10.18,6
0147.3368,10.18,6
0147.5007,10.18,6
0147.6646,10.18,6
0147.8285,10.17,6
0147.9924,10.17,6
0148.1562,10.17,6
0148.3201,10.16,6
0148.4840,10.16,6
0148.6479,10.16,6
0148.8118,10.16,6
0148.9757,10.16,6
0149.1396,10.16,6
0149.3035,10.16,6
0149.4674,10.15,6
0149.6312,10.15,6
0149.7951,10.15,6
0149.9590,10.14,6
0150.1229,10.14,6
0150.2868,10.14,6
0150.4507,10.14,6
0150.6146,10.13,6
0150.7785,10.13,6
0150.9424,10.13,6
0151.1063,10.13,6
0151.2701,10.13,6
0151.4340,10.13,6
0151.5979,10.12,6
0151.7618,10.12,6
0151.9257,10.12,6
0152.0896,10.11,6
0152.2535,10.11,6
0152.4174,10.10,6
0152.5813,10.10,6
0152.7452,10.11,6
0152.9090,10.10,6
0153.0729,10.10,6
0153.2368,10.10,6
0153.4007,10.10,6
0153.5646,10.09,6
0153.7285,10.09,6
0153.8924,10.08,6
0154.0563,10.08,6
0154.2202,10.08,6
0154.3840,10.07,6
0154.5479,10.07,6
0154.7118,10.07,6
0154.8757,10.07,6
0155.0396,10.07,6
0155.2035,10.07,6
0155.3674,10.06,6
0155.5313,10.06,6
0155.6952,10.06,6
0155.8591,10.05,6
0156.0229,10.05,6
0156.1868,10.05,6
0156.3507,10.05,6
0156.5146,10.05,6
0156.6785,10.05,6
0156.8424,10.04,6
0157.0063,10.04,6
0157.1702,10.04,6
0157.3341,10.04,6
0157.4980,10.03,6
0157.6618,10.03,6
0157.8257,10.02,6
0157.9896,10.02,6
0158.1535,10.02,6
0158.3174,10.01,6
0158.4813,10.01,6
0158.6452,10.01,6
0158.8091,10.01,6
0158.9730,10.00,6
0159.1368,10.00,6
0159.3007,10.00,6
0159.4646,09.99,6
0159.6285,09.99,6
0159.7924,09.98,6
0159.9563,09.98,3
0160.1202,09.97,3
0160.2841,09.97,3
0160.4480,09.97,3
0160.6119,09.97,3
0160.7757,09.96,3
0160.9396,09.96,3
0161.1035,09.96,3
0161.2674,09.95,3
0161.4313,09.95,3
0161.5952,09.94,3
0161.7591,09.94,3
0161.9230,09.93,3
0162.0869,09.92,3
0162.2508,09.92,3
0162.4146,09.92,3
0162.5785,09.92,3
0162.7424,09.92,3
0162.9063,09.91,3
0163.0702,09.91,3
0163.2341,09.90,3
0163.3980,09.90,3
0163.5619,09.89,3
0163.7258,09.89,3
0163.8896,09.88,3
0164.0535,09.88,3
0164.2174,09.88,3
0164.3813,09.87,3
0164.5452,09.87,3
0164.7091,09.87,3
0164.8730,09.87,3
0165.0369,09.86,3
0165.2008,09.86,3
0165.3647,09.85,3
0165.5285,09.85,3
0165.6924,09.84,3
0165.8563,09.83,3
0166.0202,09.83,3
0166.1841,09.83,3
0166.3480,09.82,3
0166.5119,09.82,3
0166.6758,09.82,3
0166.8397,09.82,3
0167.0036,09.82,3
0167.1674,09.82,3
0167.3313,09.81,3
0167.4952,09.81,3
0167.6591,09.80,3
0167.8230,09.80,3
0167.9869,09.79,3
0168.1508,09.79,3
0168.3147,09.79,3
0168.4786,09.78,3
0168.6424,09.78,3
0168.8063,09.78,3
0168.9702,09.78,3
0169.1341,09.78,3
0169.2980,09.78,3
0169.4619,09.78,3
0169.6258,09.77,3
0169.7897,09.77,3
0169.9536,09.77,3
0170.1175,09.77,3
0170.2813,09.76,3
0170.4452,09.76,3
0170.6091,09.76,3
0170.7730,09.76,3
0170.9369,09.75,3
0171.1008,09.75,3
0171.2647,09.75,3
0171.4286,09.74,3
0171.5925,09.74,3
0171.7564,09.74,3
0171.9202,09.74,3
0172.0841,09.73,3
0172.2480,09.73,3
0172.4119,09.72,3
0172.5758,09.72,3
0172.7397,09.72,3
