Time[s],Rotational_speed[rpm],Status
0000.0000,11.32,3
0000.1639,11.32,3
0000.3278,11.32,3
0000.4917,11.33,3
0000.6556,11.33,3
0000.8194,11.32,3
0000.9833,11.32,3
0001.1472,11.32,3
0001.3111,11.32,3
0001.4750,11.32,3
0001.6389,11.32,3
0001.8028,11.32,3
0001.9667,11.32,3
0002.1306,11.32,3
0002.2945,11.32,3
0002.4583,11.32,3
0002.6222,11.32,3
0002.7861,11.31,3
0002.9500,11.31,3
0003.1139,11.32,3
0003.2778,11.31,3
0003.4417,11.31,3
0003.6056,11.31,3
0003.7695,11.31,3
0003.9334,11.31,3
0004.0972,11.31,3
0004.2611,11.30,3
0004.4250,11.30,3
0004.5889,11.29,3
0004.7528,11.29,3
0004.9167,11.29,3
0005.0806,11.29,3
0005.2445,11.28,3
0005.4084,11.27,3
0005.5722,11.27,3
0005.7361,11.27,3
0005.9000,11.27,3
0006.0639,11.27,3
0006.2278,11.26,3
0006.3917,11.25,3
0006.5556,11.25,3
0006.7195,11.24,3
0006.8834,11.23,3
0007.0473,11.23,3
0007.2111,11.22,3
0007.3750,11.22,3
0007.5389,11.22,3
0007.7028,11.21,3
0007.8667,11.21,3
0008.0306,11.20,3
0008.1945,11.20,3
0008.3584,11.19,3
0008.5223,11.19,3
0008.6862,11.18,3
0008.8500,11.18,3
0009.0139,11.17,3
0009.1778,11.17,3
0009.3417,11.16,3
0009.5056,11.15,3
0009.6695,11.15,3
0009.8334,11.14,3
0009.9973,11.13,3
0010.1612,11.12,3
0010.3250,11.11,3
0010.4889,11.11,3
0010.6528,11.10,3
0010.8167,11.09,3
0010.9806,11.08,3
0011.1445,11.08,3
0011.3084,11.08,3
0011.4723,11.07,3
0011.6362,11.07,3
0011.8001,11.06,3
0011.9639,11.05,3
0012.1278,11.05,3
0012.2917,11.04,3
0012.4556,11.03,3
0012.6195,11.03,3
0012.7834,11.02,3
0012.9473,11.01,3
0013.1112,11.01,3
0013.2751,11.01,3
0013.4390,11.00,3
0013.6028,11.00,3
0013.7667,10.99,3
0013.9306,10.99,3
0014.0945,10.98,3
0014.2584,10.97,3
0014.4223,10.97,3
0014.5862,10.96,3
0014.7501,10.96,3
0014.9140,10.96,3
0015.0778,10.96,3
0015.2417,10.95,3
0015.4056,10.95,3
0015.5695,10.94,3
0015.7334,10.94,3
0015.8973,10.94,3
0016.0612,10.93,3
0016.2251,10.93,3
0016.3890,10.92,3
0016.5529,10.92,3
0016.7167,10.93,3
0016.8806,10.93,3
0017.0445,10.93,3
0017.2084,10.92,3
0017.3723,10.92,3
0017.5362,10.92,3
0017.7001,10.92,3
0017.8640,10.92,3
0018.0279,10.91,3
0018.1918,10.91,3
0018.3556,10.91,3
0018.5195,10.91,3
0018.6834,10.92,3
0018.8473,10.92,3
0019.0112,10.92,3
0019.1751,10.91,3
0019.3390,10.92,3
0019.5029,10.92,3
0019.6668,10.92,3
0019.8306,10.92,3
0019.9945,10.91,3
0020.1584,10.91,3
0020.3223,10.92,3
0020.4862,10.93,3
0020.6501,10.93,3
0020.8140,10.92,3
0020.9779,10.92,3
0021.1418,10.93,3
0021.3057,10.93,3
0021.4695,10.93,3
0021.6334,10.93,3
0021.7973,10.93,3
0021.9612,10.94,3
0022.1251,10.95,3
0022.2890,10.96,3
0022.4529,10.96,3
0022.6168,10.96,3
0022.7807,10.96,3
0022.9446,10.97,3
0023.1084,10.97,3
0023.2723,10.98,3
0023.4362,10.98,3
0023.6001,10.98,3
0023.7640,10.99,3
0023.9279,11.00,3
0024.0918,11.02,3
0024.2557,11.02,3
0024.4196,11.03,3
0024.5834,11.03,3
0024.7473,11.04,3
0024.9112,11.04,3
0025.0751,11.06,3
0025.2390,11.06,3
0025.4029,11.06,3
0025.5668,11.07,3
0025.7307,11.09,3
0025.8946,11.10,3
0026.0585,11.10,3
0026.2223,11.11,3
0026.3862,11.11,3
0026.5501,11.12,3
0026.7140,11.12,3
0026.8779,11.13,3
0027.0418,11.13,3
0027.2057,11.13,3
0027.3696,11.14,3
0027.5335,11.15,3
0027.6974,11.16,3
0027.8612,11.17,3
0028.0251,11.17,3
0028.1890,11.18,3
0028.3529,11.18,3
0028.5168,11.18,3
0028.6807,11.19,3
0028.8446,11.19,3
0029.0085,11.19,3
0029.1724,11.20,3
0029.3362,11.20,3
0029.5001,11.21,3
0029.6640,11.21,3
0029.8279,11.22,3
0029.9918,11.22,3
0030.1557,11.22,3
0030.3196,11.22,3
0030.4835,11.22,3
0030.6474,11.22,3
0030.8113,11.22,3
0030.9751,11.22,3
0031.1390,11.23,3
0031.3029,11.23,3
0031.4668,11.23,3
0031.6307,11.23,3
0031.7946,11.23,3
0031.9585,11.23,3
0032.1224,11.23,3
0032.2863,11.23,3
0032.4502,11.23,3
0032.6140,11.23,3
0032.7779,11.22,3
0032.9418,11.22,3
0033.1057,11.22,3
0033.2696,11.23,3
0033.4335,11.23,3
0033.5974,11.22,3
0033.7613,11.22,3
0033.9252,11.22,3
0034.0890,11.21,3
0034.2529,11.21,3
0034.4168,11.21,3
0034.5807,11.21,3
0034.7446,11.21,3
0034.9085,11.21,3
0035.0724,11.21,3
0035.2363,11.21,3
0035.4002,11.21,3
0035.5641,11.21,3
0035.7279,11.21,3
0035.8918,11.20,3
0036.0557,11.20,3
0036.2196,11.20,3
0036.3835,11.20,3
0036.5474,11.20,3
0036.7113,11.20,3
0036.8752,11.20,3
0037.0391,11.20,3
0037.2030,11.19,3
0037.3668,11.19,3
0037.5307,11.18,3
0037.6946,11.18,3
0037.8585,11.18,3
0038.0224,11.18,3
0038.1863,11.18,3
0038.3502,11.18,3
0038.5141,11.18,3
0038.6780,11.18,3
0038.8418,11.18,3
0039.0057,11.17,3
0039.1696,11.17,3
0039.3335,11.17,3
0039.4974,11.17,3
0039.6613,11.17,3
0039.8252,11.17,3
0039.9891,11.17,3
0040.1530,11.16,3
0040.3169,11.16,3
0040.4807,11.16,3
0040.6446,11.16,3
0040.8085,11.16,3
0040.9724,11.16,3
0041.1363,11.15,3
0041.3002,11.15,3
0041.4641,11.15,3
0041.6280,11.15,3
0041.7919,11.15,3
0041.9557,11.15,3
0042.1196,11.15,3
0042.2835,11.15,3
0042.4474,11.15,3
0042.6113,11.15,3
0042.7752,11.14,3
0042.9391,11.14,3
0043.1030,11.14,3
0043.2669,11.14,3
0043.4308,11.14,3
0043.5946,11.14,3
0043.7585,11.13,3
0043.9224,11.13,3
0044.0863,11.13,3
0044.2502,11.13,3
0044.4141,11.13,3
0044.5780,11.13,3
0044.7419,11.13,3
0044.9058,11.13,3
0045.0697,11.13,3
0045.2335,11.13,3
0045.3974,11.13,3
0045.5613,11.13,3
0045.7252,11.13,3
0045.8891,11.13,3
0046.0530,11.13,3
0046.2169,11.13,3
0046.3808,11.13,3
0046.5447,11.13,3
0046.7085,11.13,3
0046.8724,11.13,3
0047.0363,11.13,3
0047.2002,11.13,3
0047.3641,11.13,3
0047.5280,11.13,3
0047.6919,11.13,3
0047.8558,11.13,3
0048.0197,11.13,3
0048.1836,11.13,3
0048.3474,11.13,3
0048.5113,11.13,3
0048.6752,11.13,3
0048.8391,11.13,3
0049.0030,11.13,3
0049.1669,11.14,3
0049.3308,11.14,3
0049.4947,11.14,3
0049.6586,11.14,3
0049.8225,11.14,3
0049.9863,11.14,3
0050.1502,11.14,3
0050.3141,11.14,3
0050.4780,11.14,3
0050.6419,11.14,3
0050.8058,11.15,3
0050.9697,11.15,3
0051.1336,11.15,3
0051.2975,11.15,3
0051.4613,11.15,3
0051.6252,11.15,3
0051.7891,11.15,3
0051.9530,11.15,3
0052.1169,11.16,3
0052.2808,11.16,3
0052.4447,11.16,3
0052.6086,11.16,3
0052.7725,11.16,3
0052.9364,11.17,3
0053.1002,11.17,3
0053.2641,11.16,3
0053.4280,11.16,3
0053.5919,11.16,3
0053.7558,11.16,3
0053.9197,11.16,3
0054.0836,11.16,3
0054.2475,11.16,3
0054.4114,11.16,3
0054.5753,11.16,3
0054.7391,11.16,3
0054.9030,11.16,3
0055.0669,11.16,3
0055.2308,11.16,3
0055.3947,11.16,3
0055.5586,11.16,3
0055.7225,11.16,3
0055.8864,11.15,3
0056.0503,11.15,3
0056.2141,11.15,3
0056.3780,11.15,3
0056.5419,11.15,3
0056.7058,11.15,3
0056.8697,11.15,3
0057.0336,11.15,3
0057.1975,11.14,3
0057.3614,11.14,3
0057.5253,11.14,3
0057.6892,11.14,3
0057.8530,11.13,3
0058.0169,11.13,3
0058.1808,11.13,3
0058.3447,11.13,3
0058.5086,11.13,3
0058.6725,11.12,3
0058.8364,11.12,3
0059.0003,11.11,3
0059.1642,11.11,3
0059.3281,11.11,3
0059.4919,11.11,3
0059.6558,11.11,3
0059.8197,11.10,3
0059.9836,11.10,3
0060.1475,11.10,3
0060.3114,11.09,3
0060.4753,11.09,3
0060.6392,11.08,3
0060.8031,11.08,3
0060.9669,11.08,3
0061.1308,11.08,3
0061.2947,11.07,3
0061.4586,11.07,3
0061.6225,11.07,3
0061.7864,11.06,3
0061.9503,11.06,3
0062.1142,11.06,3
0062.2781,11.06,3
0062.4420,11.05,3
0062.6058,11.05,3
0062.7697,11.05,3
0062.9336,11.05,3
0063.0975,11.05,3
0063.2614,11.04,3
0063.4253,11.04,3
0063.5892,11.03,3
0063.7531,11.03,3
0063.9170,11.03,3
0064.0809,11.03,3
0064.2447,11.02,3
